First,Last,First Last,BIS_Number
Kyle,Blanks,Kyle Blanks,49
Danny,Worth,Danny Worth,198
Will,Venable,Will Venable,211
Victor,Martinez,Victor Martinez,393
Carlos,Beltran,Carlos Beltran,589
Brandon,Barnes,Brandon Barnes,629
Adrian,Beltre,Adrian Beltre,639
J.P.,Arencibia,J.P. Arencibia,697
Torii,Hunter,Torii Hunter,731
David,Ortiz,David Ortiz,745
A.J.,Pierzynski,A.J. Pierzynski,746
Todd,Frazier,Todd Frazier,785
Brandon,Phillips,Brandon Phillips,791
Marlon,Byrd,Marlon Byrd,950
Jimmy,Rollins,Jimmy Rollins,971
Aramis,Ramirez,Aramis Ramirez,1002
Willie,Bloomquist,Willie Bloomquist,1066
Ichiro,Suzuki,Ichiro Suzuki,1101
Andrew,Romine,Andrew Romine,1159
Albert,Pujols,Albert Pujols,1177
Chris,Johnson,Chris Johnson,1191
Carl,Crawford,Carl Crawford,1201
Ryan,Ludwick,Ryan Ludwick,1260
Alex,Rodriguez,Alex Rodriguez,1274
Mark,Teixeira,Mark Teixeira,1281
Jayson,Werth,Jayson Werth,1327
Ramon,Santiago,Ramon Santiago,1417
Nick,Punto,Nick Punto,1429
Wilson,Ramos,Wilson Ramos,1433
Michael,Cuddyer,Michael Cuddyer,1534
David,Ross,David Ross,1551
Wil,Nieves,Wil Nieves,1556
Coco,Crisp,Coco Crisp,1572
Omar,Infante,Omar Infante,1609
Shane,Victorino,Shane Victorino,1677
Chase,Utley,Chase Utley,1679
Jose,Reyes,Jose Reyes,1736
Justin,Morneau,Justin Morneau,1737
Jhonny,Peralta,Jhonny Peralta,1738
Miguel,Cabrera,Miguel Cabrera,1744
Cody,Ross,Cody Ross,1760
David,Dejesus,David Dejesus,1825
Clint,Barmes,Clint Barmes,1830
Jonny,Gomes,Jonny Gomes,1845
Joe,Mauer,Joe Mauer,1857
Matt,Holliday,Matt Holliday,1873
Josh,Hamilton,Josh Hamilton,1875
Jose,Bautista,Jose Bautista,1887
Adam,LaRoche,Adam LaRoche,1904
Adrian,Gonzalez,Adrian Gonzalez,1908
Corey,Hart,Corey Hart,1945
Desmond,Jennings,Desmond Jennings,1965
Jeff,Baker,Jeff Baker,2073
Alex,Rios,Alex Rios,2090
David,Peralta,David Peralta,2136
Delmon,Young,Delmon Young,2140
Edwin,Encarnacion,Edwin Encarnacion,2151
Ryan,Howard,Ryan Howard,2154
Grady,Sizemore,Grady Sizemore,2197
Don,Kelly,Don Kelly,2216
Ryan,Raburn,Ryan Raburn,2218
Jason,Bourgeois,Jason Bourgeois,2225
Kelly,Johnson,Kelly Johnson,2234
Hector,Gomez,Hector Gomez,2264
Carlos,Santana,Carlos Santana,2396
Darwin,Barney,Darwin Barney,2430
Nelson,Cruz,Nelson Cruz,2434
Maicer,Izturis,Maicer Izturis,2437
Pedro,Alvarez,Pedro Alvarez,2495
Lucas,Duda,Lucas Duda,2502
Hank,Conger,Hank Conger,2505
Yonder,Alonso,Yonder Alonso,2530
Pete,Kozma,Pete Kozma,2539
Peter,Bourjos,Peter Bourjos,2578
Carlos,Ruiz,Carlos Ruiz,2579
Zack,Cozart,Zack Cozart,2616
Brandon,Guyer,Brandon Guyer,2636
Garrett,Jones,Garrett Jones,2714
Johnny,Monell,Johnny Monell,2783
Tony,Cruz,Tony Cruz,2802
Travis,Snider,Travis Snider,2830
Rafael,Ynoa,Rafael Ynoa,2832
Roberto,Perez,Roberto Perez,2900
Emmanuel,Burriss,Emmanuel Burriss,2917
Angel,Pagan,Angel Pagan,2918
Tommy,Pham,Tommy Pham,2967
Michael,Morse,Michael Morse,3035
Mike,Napoli,Mike Napoli,3057
Mitch,Moreland,Mitch Moreland,3086
Gregor,Blanco,Gregor Blanco,3123
Robinson,Chirinos,Robinson Chirinos,3142
Domonic,Brown,Domonic Brown,3154
Shin-Soo,Choo,Shin-Soo Choo,3174
Dioner,Navarro,Dioner Navarro,3179
Nate,McLouth,Nate McLouth,3190
Brayan,Pena,Brayan Pena,3231
Welington,Castillo,Welington Castillo,3256
Robinson,Cano,Robinson Cano,3269
Charlie,Culberson,Charlie Culberson,3298
Martin,Prado,Martin Prado,3312
Alberto,Callaspo,Alberto Callaspo,3336
Matt,Joyce,Matt Joyce,3353
Miguel,Montero,Miguel Montero,3364
Alejandro,DeAza,Alejandro DeAza,3371
Nick,Hundley,Nick Hundley,3376
John,Mayberry,John Mayberry,3390
Cliff,Pennington,Cliff Pennington,3395
Ryan,Braun(Mil),Ryan Braun(Mil),3410
Drew,Butera,Drew Butera,3411
Allen,Craig,Allen Craig,3433
Dan,Uggla,Dan Uggla,3442
Jeff,Mathis,Jeff Mathis,3448
Anthony,Rizzo,Anthony Rizzo,3473
Eric,Hosmer,Eric Hosmer,3516
