Name,BIS,Order,League
Chris Archer,6345,1,BL
Carlos Martinez,11682,2,BL
Trevor Bauer,12703,3,BL
Tyler Skaggs,10190,4,BL
Jameson Taillon,11674,5,BL
Jeff Hoffman,17432,5,BL
Zack Godley,14862,6,BL
A.J. Cole,11467,7,BL
Jimmy Nelson,10547,8,BL
Aroyds Vizcaino,5498,9,BL
Keone Kela,14696,10,BL
Andrew Chafin,12988,11,BL
Mark Melancon,4264,12,BL
Jeurys Familia,5114,13,BL
Zack Greinke,1943,1,NL
Mike Foltynewicz,10811,2,NL
Ivan Nova,1994,3,NL
Gio Gonzalez,7448,4,NL
Patrick Corbin,9323,5,NL
Tyler Anderson,12880,6,NL
Corey Knebel,15010,7,NL
Sean Doolittle,1581,8,NL
Jacob Barnes,12323,9,NL
Luke Gregerson,4090,10,NL
Tony Cingrani,12555,11,NL
Alex Reyes,15015,12,NL
Walker Buehler,19374,13,NL
