Name,BIS,Order,League
Jean Segura,5933,1,BL
Odubel Herrera,11476,2,BL
J.D. Martinez,6184,3,BL
Eric Hosmer,3516,4,BL
Jed Gyorko,10816,5,BL
Travis d'Arnaud,7739,6,BL
Maikel Franco,12179,7,BL
Joe Panik,11936,8,BL
Delino DeShields,11379,9,BL
Chance Sisco,15694,10,BL
Matt Adams,9393,11,BL
Jose Iglesias,10231,12,BL
Raimel Tapia,14350,13,BL
Ender Inciarte,4922,1,NL
Tommy Pham,2967,2,NL
Paul Goldschmidt,9218,3,NL
Zack Cozart,2616,4,NL
Austin Barnes,12158,5,NL
Chris Iannetta,8267,6,NL
Eduardo Nunez,6848,7,NL
Amed Rosario,15518,8,NL
Tommy LaStella,12371,9,NL
Wilmer Difo,14320,10,NL
Devin Mesoraco,5666,11,NL
