"Date","Team","Opp","GS","W","L","ERA","CG","ShO","SV","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","Name","League","AVG","BABIP","WHIP","BB%","SO%"
"Total","- - -","- - -",7,"0","1",1.27,"0","0","0",21.1,84,14,"5","3",0,7,"0",1,"1","0",34,"MacKenzie Gore","NL",0.184,0.333,1,8.3,40.5
"Total","- - -","- - -",19,"3","3",3.35,"0","0","1",88.2,358,67,"34","33",6,31,"0",1,"4","1",125,"Walker Buehler","NL",0.206,0.313,1.11,8.7,34.9
"Total","- - -","- - -",14,"3","9",5.69,"0","0","0",55.1,243,49,"38","35",6,30,"0",4,"2","0",72,"Jason Groome","BL",0.234,0.328,1.43,12.3,29.6
"Total","- - -","- - -",13,"4","5",3.69,"0","0","0",90.1,370,82,"39","37",7,23,"1",2,"5","0",79,"Eric Fedde","Watch",0.238,0.29,1.17,6.2,21.4
"Total","- - -","- - -",18,"4","6",4.68,"0","0","1",92.1,414,90,"57","48",4,50,"0",2,"13","1",97,"Yadier Alvarez","NL",0.249,0.33,1.52,12.1,23.4
"Total","- - -","- - -",20,"4","9",3.55,"0","0","0",106.1,479,105,"49","42",7,61,"0",10,"13","0",102,"Cody Reed","Watch",0.257,0.328,1.56,12.7,21.3
"Total","- - -","- - -",22,"7","5",4.31,"0","0","0",125.1,555,125,"64","60",13,54,"0",15,"20","1",106,"Sandy Alcantara","Watch",0.257,0.305,1.43,9.7,19.1
"Total","- - -","- - -",22,"2","11",5.42,"0","0","0",93,435,96,"67","56",3,59,"0",8,"26","0",79,"Riley Pint","BL",0.261,0.325,1.67,13.6,18.2
"Total","- - -","- - -",13,"3","4",3.86,"0","0","0",63,266,65,"28","27",4,16,"0",3,"9","2",58,"Adrian Morejon","BL",0.263,0.33,1.29,6,21.8
"Total","- - -","- - -",13,"5","2",4.37,"0","0","0",57.2,245,61,"32","28",4,15,"0",2,"2","0",42,"Norge Ruiz","Watch",0.268,0.313,1.33,6.1,17.1
"Total","- - -","- - -",24,"6","11",4.49,"0","0","0",108.1,464,115,"56","54",3,35,"0",5,"15","0",100,"Anderson Espinoza","Watch",0.271,0.349,1.39,7.5,21.6
