"Date","Team","Opp","GS","W","L","SV","HLD","IP","TBF","H","R","ER","HR","BB","SO","K.9","BB.9","HR.9","BABIP","LOB.","GB.","HR.FB","ERA","FIP","xFIP","GSv2","BIS"
"2018-04-02","LAD","@ARI","0","0","0","0","1",0.2,"2",0,"0",0,0,0,1,"13.50","0.00","0.00",0,"100.0 %","100.0 %","0.0 %","0.00","-0.15","-0.15","",12555
"2018-04-01","LAD","SFG","0","0","0","0","0",1,"3",0,"0",0,0,0,1,"9.00","0.00","0.00",0,"100.0 %","100.0 %","0.0 %","0.00","0.85","0.85","",12555
"2018-03-29","LAD","SFG","0","0","0","0","0",1,"3",0,"0",0,0,0,1,"9.00","0.00","0.00",0,"100.0 %","50.0 %","0.0 %","0.00","0.85","2.32","",12555
"2018-03-31","MIL","@SDP","0","0","0","0","0",1,"3",1,"0",0,0,0,0,"0.00","0.00","0.00",0.333,"100.0 %","33.3 %","0.0 %","0.00","2.85","4.32","",12323
"2018-03-29","MIL","@SDP","0","0","0","1","0",1,"3",0,"0",0,0,0,3,"27.00","0.00","0.00",0,"100.0 %","0.0 %","0.0 %","0.00","-3.15","-3.15","",12323
"2018-04-01","WSN","@CIN","0","0","0","1","0",1,"5",1,"2",2,1,0,1,"9.00","0.00","9.00",0,"0.0 %","0.0 %","33.3 %","18.00","16.85","8.25","",1581
"2018-03-30","WSN","@CIN","0","0","0","1","0",1,"4",0,"0",0,0,1,2,"18.00","9.00","0.00",0,"100.0 %","0.0 %","0.0 %","0.00","1.85","3.32","",1581
"2018-03-30","MIL","@SDP","0","0","0","1","0",1,"3",0,"0",0,0,0,3,"27.00","0.00","0.00",0,"100.0 %","0.0 %","0.0 %","0.00","-3.15","-3.15","",15010
"2018-03-29","MIL","@SDP","0","0","0","0","0",1,"4",2,"1",1,0,0,1,"9.00","0.00","0.00",0.667,"50.0 %","33.3 %","0.0 %","9.00","0.85","2.32","",15010
"2018-03-30","COL","@ARI","1","0","0","0","0",2.1,"16",5,"7",7,1,4,3,"11.57","15.43","3.86",0.5,"26.3 %","22.2 %","33.3 %","27.00","11.00","7.31","13",12880
"2018-03-29","ARI","COL","1","1","0","0","0",5.2,"24",7,"2",2,2,1,8,"12.71","1.59","3.18",0.385,"100.0 %","57.1 %","66.7 %","3.18","5.15","1.34","49",9323
"2018-04-01","WSN","@CIN","1","1","0","0","0",6,"24",5,"1",1,0,1,7,"10.50","1.50","0.00",0.313,"83.3 %","25.0 %","0.0 %","1.50","1.02","2.73","69",7448
