"Date","Team","Opp","BO","Pos","PA","H","X2B","X3B","HR","R","RBI","SB","CS","BB.","K.","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC.","BIS","BB","K"
"2018-04-01","CIN","WSN",6,"C",4,1,0,0,0,0,0,0,0,0,25,0,0.333,".250",".250",".250",".221","29",5666,0,1
"2018-03-30","CIN","WSN",6,"PH",1,0,0,0,0,0,0,0,0,0,0,0,0,".000",".000",".000",".000","-100",5666,0,0
"2018-04-02","WSN","@ATL",7,"2B",5,1,1,0,0,1,0,0,0,20,40,0.25,0.5,".250",".400",".500",".316","90",14320,1,2
"2018-04-01","WSN","@CIN",9,"2B",4,1,0,0,0,1,0,1,0,25,0,0,0.333,".333",".500",".333",".393","139",14320,1,0
"2018-03-31","WSN","@CIN",1,"2B",0,0,0,0,0,0,0,0,0,0,0,0,0,".000",".000",".000",".000","",14320,0,0
"2018-04-01","CHC","@MIA",9,"PH",1,1,0,0,0,0,0,0,0,0,0,0,1,"1.000","1.000","1.000",".884","453",12371,0,0
"2018-03-31","CHC","@MIA",9,"PH",1,0,0,0,0,0,0,0,0,0,0,0,0,".000",".000",".000",".000","-100",12371,0,0
"2018-03-30","CHC","@MIA",9,"PH",1,0,0,0,0,0,0,0,0,0,100,0,0,".000",".000",".000",".000","-100",12371,0,1
"2018-03-29","CHC","@MIA",9,"PH",1,1,1,0,0,0,2,0,0,0,0,1,1,"1.000","1.000","2.000","1.264","696",12371,0,0
"2018-04-01","NYM","STL",9,"SS",4,1,0,0,0,0,1,0,0,0,25,0,0.333,".250",".250",".250",".221","34",15518,0,1
"2018-03-31","NYM","STL",9,"SS",4,0,0,0,0,0,0,0,0,25,50,0,0,".000",".250",".000",".172","2",15518,1,2
"2018-03-29","NYM","STL",9,"SS",4,2,0,0,0,2,2,0,0,0,25,0,0.667,".500",".500",".500",".442","175",15518,0,1
"2018-04-02","BOS","@MIA",6,"2B",4,1,1,0,0,1,1,0,0,0,0,0.25,0.25,".250",".250",".500",".316","103",6848,0,0
